signature,sequence,value,length
(((7*9)-4)*6)-(3-3),"6,7,9,*,4,-,*,3,3,-,-",354,6
((3+3)*7*9)-(4*6),"7,9,3,3,+,*,*,4,6,*,-",354,6
((3*6)/3)*((7*9)-4),"3,6,*,3,/,7,9,*,4,-,*",354,6
((7*9)-4)*(6/(3/3)),"6,3,3,/,/,7,9,*,4,-,*",354,6
((7*9)-4)*(6-(3-3)),"6,3,3,-,-,7,9,*,4,-,*",354,6
(3-3-6)*(4-(7*9)),"4,7,9,*,-,3,6,-,3,-,*",354,6
((7*9)-4)*(3+6-3),"3,6,3,-,+,7,9,*,4,-,*",354,6
((7*9)-4)*(3-(3-6)),"3,3,6,-,-,7,9,*,4,-,*",354,6
(6*7*9)-((3+3)*4),"6,7,9,*,*,4,3,3,+,*,-",354,6
(3-(3+6))*(4-(7*9)),"3,3,6,+,-,4,7,9,*,-,*",354,6
(((3+6)*7)-4)*(9-3),"9,3,-,7,6,3,+,*,4,-,*",354,6
(3-9)*(4-((3+6)*7)),"3,9,-,4,7,6,3,+,*,-,*",354,6
((3+9)*4*7)+(3*6),"3,6,*,4,7,3,9,+,*,*,+",354,6
(3-4)-((3-(6*9))*7),"3,4,-,7,3,6,9,*,-,*,-",356,6
(3+3)-((4-(6*9))*7),"3,3,+,7,4,6,9,*,-,*,-",356,6
(3-3)-((4-(7*9))*6),"3,3,-,6,4,7,9,*,-,*,-",354,6
(((3*7*9)/3)-4)*6,"6,3,7,9,*,*,3,/,4,-,*",354,6
(((7*9)-(4-3))-3)*6,"6,7,9,*,4,3,-,-,3,-,*",354,6
(((7*9)/(3/3))-4)*6,"6,7,9,*,3,3,/,/,4,-,*",354,6
(((7*9)-(3-3))-4)*6,"6,7,9,*,3,3,-,-,4,-,*",354,6
((((3*7)/3)*9)-4)*6,"6,9,3,7,*,3,/,*,4,-,*",354,6
((((3*9)/3)*7)-4)*6,"6,7,3,9,*,3,/,*,4,-,*",354,6
((((7*9)/3)*3)-4)*6,"6,3,7,9,*,3,/,*,4,-,*",354,6
((((7*9)-4)*3)/3)*6,"6,3,7,9,*,4,-,*,3,/,*",354,6
(((6*9)-3)*7)+3-4,"3,7,6,9,*,3,-,*,4,-,+",356,6
((((7*9)-4)*6)/3)*3,"3,6,7,9,*,4,-,*,3,/,*",354,6
(((7*9)-4)*6)+3-3,"3,6,7,9,*,4,-,*,3,-,+",354,6
(((7/(3/3))*9)-4)*6,"6,9,7,3,3,/,/,*,4,-,*",354,6
(((7-(3-3))*9)-4)*6,"6,9,7,3,3,-,-,*,4,-,*",354,6
(((3-(3-7))*9)-4)*6,"6,9,3,3,7,-,-,*,4,-,*",354,6
(((3+7-3)*9)-4)*6,"6,9,3,7,3,-,+,*,4,-,*",354,6
(((9/(3/3))*7)-4)*6,"6,7,9,3,3,/,/,*,4,-,*",354,6
(((3/3)*7*9)-4)*6,"6,7,9,3,3,/,*,*,4,-,*",354,6
(((9-(3-3))*7)-4)*6,"6,7,9,3,3,-,-,*,4,-,*",354,6
(((3+9-3)*7)-4)*6,"6,7,3,9,3,-,+,*,4,-,*",354,6
(((3-(3-9))*7)-4)*6,"6,7,3,3,9,-,-,*,4,-,*",354,6
(((9/3)*3*7)-4)*6,"6,3,7,9,3,/,*,*,4,-,*",354,6
((3-(3-(7*9)))-4)*6,"6,3,3,7,9,*,-,-,4,-,*",354,6
((3-(4-(7*9)))-3)*6,"6,3,4,7,9,*,-,-,3,-,*",354,6
3-(((4-(6*9))*7)-3),"3,7,4,6,9,*,-,*,3,-,-",356,6
(((7*9)-4)/(3/3))*6,"6,7,9,*,4,-,3,3,/,/,*",354,6
(((7*9)-4)-(3-3))*6,"6,7,9,*,4,-,3,3,-,-,*",354,6
(((7*9)-3)-(4-3))*6,"6,7,9,*,3,-,4,3,-,-,*",354,6
(((3+4)*9)-(7-3))*6,"6,9,4,3,+,*,7,3,-,-,*",354,6
(((7*9)+3)-(3+4))*6,"6,3,7,9,*,+,4,3,+,-,*",354,6
(((6+7)*9)-(3-4))*3,"3,9,6,7,+,*,3,4,-,-,*",354,6
((7*9)-((3*4)/3))*6,"6,7,9,*,3,4,*,3,/,-,*",354,6
((7*9)-4)*(3/3)*6,"6,3,3,/,7,9,*,4,-,*,*",354,6
((7*9)-4)*(6/3)*3,"3,6,3,/,7,9,*,4,-,*,*",354,6
((7*9)-(4/(3/3)))*6,"6,7,9,*,4,3,3,/,/,-,*",354,6
((7*9)-((3/3)*4))*6,"6,7,9,*,4,3,3,/,*,-,*",354,6
((7*9)-(4-(3-3)))*6,"6,7,9,*,4,3,3,-,-,-,*",354,6
((7*9)-(3+4-3))*6,"6,7,9,*,3,4,3,-,+,-,*",354,6
((7*9)-(3-(3-4)))*6,"6,7,9,*,3,3,4,-,-,-,*",354,6
((3-(3+4))+(7*9))*6,"6,7,9,*,3,3,4,+,-,+,*",354,6
((3-3)-(4-(7*9)))*6,"6,3,3,-,4,7,9,*,-,-,*",354,6
((3-4)-(3-(7*9)))*6,"6,3,4,-,3,7,9,*,-,-,*",354,6
(((3*7)+6)*(4+9))+3,"3,4,9,+,6,7,3,*,+,*,+",354,6
((7*9)+3-3-4)*6,"6,3,7,9,*,4,-,3,-,+,*",354,6
((((3+3)*9)-4)*7)+6,"6,7,9,3,3,+,*,4,-,*,+",356,6
((((3+7)*9)-3)*4)+6,"6,4,9,3,7,+,*,3,-,*,+",354,6
(((3+4)*9)+3-7)*6,"6,3,9,3,4,+,*,7,-,+,*",354,6
(((6+7)*9)+4-3)*3,"3,4,9,6,7,+,*,3,-,+,*",354,6
(((7*9)-(3+4))+3)*6,"6,3,7,9,*,4,3,+,-,+,*",354,6
(3-((3+4)-(7*9)))*6,"6,3,4,3,+,7,9,*,-,-,*",354,6
(((3+4)*(7+9))+6)*3,"3,6,4,3,+,7,9,+,*,+,*",354,6
(3-((4-3-9)*7))*6,"6,3,7,4,3,-,9,-,*,-,*",354,6
(3-(3-((7*9)-4)))*6,"6,3,3,7,9,*,4,-,-,-,*",354,6
(3-(4-((7*9)-3)))*6,"6,3,4,7,9,*,3,-,-,-,*",354,6
3-(4-(((6*9)-3)*7)),"3,4,7,6,9,*,3,-,*,-,-",356,6
(((6*9)-4)*7)+3+3,"3,3,7,6,9,*,4,-,*,+,+",356,6
3-(3-(((7*9)-4)*6)),"3,3,6,7,9,*,4,-,*,-,-",354,6
6-((4-((3+3)*9))*7),"6,7,4,9,3,3,+,*,-,*,-",356,6
6-((3-((3+7)*9))*4),"6,4,3,9,7,3,+,*,-,*,-",354,6
((((3+9)*7)+3)*4)+6,"6,4,3,7,3,9,+,*,+,*,+",354,6
(((9-(4-3))*7)+3)*6,"6,3,7,9,4,3,-,-,*,+,*",354,6
(3-(7-((3+4)*9)))*6,"6,3,7,9,4,3,+,*,-,-,*",354,6
(3-((4-(3+9))*7))*6,"6,3,7,4,3,9,+,-,*,-,*",354,6
(((3+9-4)*7)+3)*6,"6,3,7,3,9,4,-,+,*,+,*",354,6
(((3-(4-9))*7)+3)*6,"6,3,7,3,4,9,-,-,*,+,*",354,6
(3-((4-(7*9))+3))*6,"6,3,3,4,7,9,*,-,+,-,*",354,6
(3-((3-(7*9))+4))*6,"6,3,4,3,7,9,*,-,+,-,*",354,6
((((4+7)*3)+6)*9)+3,"3,9,6,3,7,4,+,*,+,*,+",354,6
(((3+4+9)*7)+6)*3,"3,6,7,3,4,9,+,+,*,+,*",354,6
3-(((3-(6*9))*7)+4),"3,4,7,3,6,9,*,-,*,+,-",356,6
(((3+7+9)*6)+4)*3,"3,4,6,3,7,9,+,+,*,+,*",354,6
(4-(3-((6+7)*9)))*3,"3,4,3,9,7,6,+,*,-,-,*",354,6
(3-((4-(6*9))*7))+3,"3,3,7,4,6,9,*,-,*,-,+",356,6
3-(((4-(7*9))*6)+3),"3,3,6,4,7,9,*,-,*,+,-",354,6
(((7*9)-3)*6)-3-4,"6,7,9,*,3,-,*,3,-,4,-",353,6
((((3+4)*9)-3)*6)-7,"6,9,4,3,+,*,3,-,*,7,-",353,6
(((3*6*7)-4)*3)-9,"3,3,6,7,*,*,4,-,*,9,-",357,6
((4+6)*(7-3)*9)-3,"9,4,6,+,7,3,-,*,*,3,-",357,6
((3+3)*(6+9)*4)-7,"4,3,3,+,6,9,+,*,*,7,-",353,6
((3+9)*(4+6)*3)-7,"3,3,9,+,6,4,+,*,*,7,-",353,6
((((3+3)*6)+4)*9)-7,"9,4,6,3,3,+,*,+,*,7,-",353,6
((7-(3-6))*4*9)-3,"4,9,7,3,6,-,-,*,*,3,-",357,6
((6+7-3)*4*9)-3,"4,9,6,7,3,-,+,*,*,3,-",357,6
((6-(3-7))*4*9)-3,"4,9,6,3,7,-,-,*,*,3,-",357,6
((((3+9)*7)+6)*4)-3,"4,6,7,3,9,+,*,+,*,3,-",357,6
((3+3+9)*4*6)-7,"4,6,3,3,9,+,+,*,*,7,-",353,6
((4+7+9)*3*6)-3,"3,6,4,7,9,+,+,*,*,3,-",357,6
(((6*9)-3)*7)/(4-3),"7,6,9,*,3,-,*,4,3,-,/",357,6
(((7*9)-4)*6)-(3/3),"6,7,9,*,4,-,*,3,3,/,-",353,6
(((7*9)-3)*6)-(3+4),"6,7,9,*,3,-,*,3,4,+,-",353,6
((3-(6*9))*7)/(3-4),"7,3,6,9,*,-,*,3,4,-,/",357,6
((3+4)*6*9)-(3*7),"6,9,4,3,+,*,*,7,3,*,-",357,6
((3+7)*4*9)-(6-3),"4,9,3,7,+,*,*,6,3,-,-",357,6
((3*7)-4)*((3*9)-6),"3,7,*,4,-,3,9,*,6,-,*",357,6
((6*9)-3)*(7/(4-3)),"7,4,3,-,/,6,9,*,3,-,*",357,6
(6*7*9)-((3+4)*3),"6,7,9,*,*,3,3,4,+,*,-",357,6
(4-(3*7))*(6-(3*9)),"4,3,7,*,-,6,3,9,*,-,*",357,6
(3-(6*9))*(7/(3-4)),"3,6,9,*,-,7,3,4,-,/,*",357,6
(((3+7)*6)-9)*(3+4),"3,4,+,6,3,7,+,*,9,-,*",357,6
(((6*9)/(4-3))-3)*7,"7,6,9,*,4,3,-,/,3,-,*",357,6
(((3+3)*(4+6))-9)*7,"7,3,3,+,6,4,+,*,9,-,*",357,6
((((3*4)-6)*9)-3)*7,"7,9,4,3,*,6,-,*,3,-,*",357,6
((((3*6)-3)*4)-9)*7,"7,4,3,6,*,3,-,*,9,-,*",357,6
((((3*6)-4)*9)-7)*3,"3,9,6,3,*,4,-,*,7,-,*",357,6
(((6/(4-3))*9)-3)*7,"7,9,6,4,3,-,/,*,3,-,*",357,6
((((6/3)+4)*9)-3)*7,"7,9,4,6,3,/,+,*,3,-,*",357,6
(((9/(4-3))*6)-3)*7,"7,6,9,4,3,-,/,*,3,-,*",357,6
(((4-3)*6*9)-3)*7,"7,6,9,4,3,-,*,*,3,-,*",357,6
(((3+3+4)*6)-9)*7,"7,6,4,3,3,+,+,*,9,-,*",357,6
((((3*3)+6)*4)-9)*7,"7,4,6,3,3,*,+,*,9,-,*",357,6
(((6-4)*3*9)-3)*7,"7,3,9,6,4,-,*,*,3,-,*",357,6
((((3*4)+9)*6)-7)*3,"3,6,9,3,4,*,+,*,7,-,*",357,6
((3+7)*4*9)+3-6,"3,4,9,7,3,+,*,*,6,-,+",357,6
((((4*9)+6)*3)-7)*3,"3,3,6,4,9,*,+,*,7,-,*",357,6
(((6*9)-3)/(4-3))*7,"7,6,9,*,3,-,4,3,-,/,*",357,6
(((6+9)*4)-(3*3))*7,"7,4,6,9,+,*,3,3,*,-,*",357,6
(((3+9)*4)-(3-6))*7,"7,4,3,9,+,*,3,6,-,-,*",357,6
((3-(6*9))/(3-4))*7,"7,3,6,9,*,-,3,4,-,/,*",357,6
((6*9)-3)*(4-3)*7,"7,4,3,-,6,9,*,3,-,*,*",357,6
((3/3)+(6*9)-4)*7,"7,3,3,/,6,9,*,4,-,+,*",357,6
((3*6)+(4*9)-3)*7,"7,3,6,*,4,9,*,3,-,+,*",357,6
((6*9)-(4-(3/3)))*7,"7,6,9,*,4,3,3,/,-,-,*",357,6
((6*9)-(3/(4-3)))*7,"7,6,9,*,3,4,3,-,/,-,*",357,6
((6*9)-((4-3)*3))*7,"7,6,9,*,3,4,3,-,*,-,*",357,6
((3/(3-4))+(6*9))*7,"7,6,9,*,3,3,4,-,/,+,*",357,6
(((3-4)*3)+(6*9))*7,"7,6,9,*,3,3,4,-,*,+,*",357,6
((4*9)-(3-(3*6)))*7,"7,4,9,*,3,6,3,*,-,-,*",357,6
((3/3)-(4-(6*9)))*7,"7,3,3,/,4,6,9,*,-,-,*",357,6
((3*6)-(3-(4*9)))*7,"7,3,6,*,3,4,9,*,-,-,*",357,6
(3-(6*9))*(3-4)*7,"7,3,4,-,3,6,9,*,-,*,*",357,6
((3*9)-4-6)*3*7,"3,7,3,9,*,4,-,6,-,*,*",357,6
(((3+9)*4)+6-3)*7,"7,6,4,3,9,+,*,3,-,+,*",357,6
((3*3)+(4*9)+6)*7,"7,6,4,9,*,3,3,*,+,+,*",357,6
((3*9)-(4+6))*3*7,"3,7,3,9,*,4,6,+,-,*,*",357,6
((((3*6)-4)*3)+9)*7,"7,9,3,6,3,*,4,-,*,+,*",357,6
((((3*3)-4)*9)+6)*7,"7,6,9,3,3,*,4,-,*,+,*",357,6
(3-((4-3-9)*6))*7,"7,3,6,4,3,-,9,-,*,-,*",357,6
(3-((3-6-9)*4))*7,"7,3,4,3,6,-,9,-,*,-,*",357,6
(((4*6)/3)+9)*3*7,"3,7,9,6,4,*,3,/,+,*,*",357,6
(9-((4-(3*6))*3))*7,"7,9,3,4,6,3,*,-,*,-,*",357,6
((((3/3)+4)*9)+6)*7,"7,6,9,4,3,3,/,+,*,+,*",357,6
(6-((4-(3*3))*9))*7,"7,6,9,4,3,3,*,-,*,-,*",357,6
((3*3*4)+6+9)*7,"7,6,9,3,3,4,*,*,+,+,*",357,6
(((9-4)*3*3)+6)*7,"7,6,3,3,9,4,-,*,*,+,*",357,6
(6-((4-9)*3*3))*7,"7,6,3,3,4,9,-,*,*,-,*",357,6
(6-(3-((3+9)*4)))*7,"7,6,3,4,3,9,+,*,-,-,*",357,6
(((9-(4-3))*6)+3)*7,"7,3,6,9,4,3,-,-,*,+,*",357,6
(((3+9-4)*6)+3)*7,"7,3,6,3,9,4,-,+,*,+,*",357,6
(((3-(4-9))*6)+3)*7,"7,3,6,3,4,9,-,-,*,+,*",357,6
(3-((4-(3+9))*6))*7,"7,3,6,4,3,9,+,-,*,-,*",357,6
(((9-(3-6))*4)+3)*7,"7,3,4,9,3,6,-,-,*,+,*",357,6
(3-((3-(6+9))*4))*7,"7,3,4,3,6,9,+,-,*,-,*",357,6
(((6+9-3)*4)+3)*7,"7,3,4,6,9,3,-,+,*,+,*",357,6
(((6-(3-9))*4)+3)*7,"7,3,4,6,3,9,-,-,*,+,*",357,6
(((6/3)*4)+9)*3*7,"3,7,9,4,6,3,/,*,+,*,*",357,6
3-(6-((3+7)*4*9)),"3,6,4,9,7,3,+,*,*,-,-",357,6
(4-((3-(6*9))*7))-3,"4,7,3,6,9,*,-,*,-,3,-",358,6
(((6*7)-3)*9)-(3-4),"9,6,7,*,3,-,*,3,4,-,-",352,6
(((6*9)-3)*7)-(3-4),"7,6,9,*,3,-,*,3,4,-,-",358,6
((3+7)*4*9)-(6/3),"4,9,3,7,+,*,*,6,3,/,-",358,6
((6+7)*3*9)-(3-4),"3,9,6,7,+,*,*,3,4,-,-",352,6
((3+3)*6*9)+(4*7),"4,7,*,6,9,3,3,+,*,*,+",352,6
(4-3)-((3-(6*7))*9),"4,3,-,9,3,7,6,*,-,*,-",352,6
(4-3)-((3-(6*9))*7),"4,3,-,7,3,6,9,*,-,*,-",358,6
(3+4)-((3-(6*7))*9),"3,4,+,9,3,7,6,*,-,*,-",358,6
(((6*7)-3)*9)+4-3,"4,9,6,7,*,3,-,*,3,-,+",352,6
(((6*9)-3)*7)+4-3,"4,7,6,9,*,3,-,*,3,-,+",358,6
4-(((3-(6*7))*9)-3),"4,9,3,6,7,*,-,*,3,-,-",358,6
((6+7)*3*9)+4-3,"4,3,9,6,7,+,*,*,3,-,+",352,6
3-(((3-(6*7))*9)-4),"3,9,3,6,7,*,-,*,4,-,-",358,6
(((3+7)*9)-(6/3))*4,"4,9,3,7,+,*,6,3,/,-,*",352,6
(((4*9)+3)*(3+6))+7,"7,3,6,+,3,4,9,*,+,*,+",358,6
((((3+4)*6)-3)*9)+7,"7,9,6,4,3,+,*,3,-,*,+",358,6
((3+6)*(4+9)*3)+7,"7,3,4,9,+,3,6,+,*,*,+",358,6
4-(3-(((6*7)-3)*9)),"4,3,9,6,7,*,3,-,*,-,-",352,6
(((6*7)-3)*9)+3+4,"4,3,9,6,7,*,3,-,*,+,+",358,6
4-(3-(((6*9)-3)*7)),"4,3,7,6,9,*,3,-,*,-,-",358,6
((((3+6)*4)+3)*9)+7,"7,9,3,4,6,3,+,*,+,*,+",358,6
7-((3-((3+4)*6))*9),"7,9,3,6,4,3,+,*,-,*,-",358,6
((3+4+6)*3*9)+7,"7,3,9,6,3,4,+,+,*,*,+",358,6
(((3*3*9)+7)*4)+6,"6,4,7,3,3,9,*,*,+,*,+",358,6
(((6-3)*3*9)+7)*4,"4,7,3,9,6,3,-,*,*,+,*",352,6
((((3*6)+9)*3)+7)*4,"4,7,3,9,3,6,*,+,*,+,*",352,6
(7-((3-6)*3*9))*4,"4,7,3,9,3,6,-,*,*,-,*",352,6
(3-((3-(6*7))*9))+4,"4,3,9,3,7,6,*,-,*,-,+",358,6
4-(((3-(6*7))*9)+3),"4,3,9,3,7,6,*,-,*,+,-",352,6
4-(((3-(6*9))*7)+3),"4,3,7,3,6,9,*,-,*,+,-",358,6
4-(3-((6+7)*3*9)),"4,3,3,9,7,6,+,*,*,-,-",352,6
((6+7)*3*9)+3+4,"4,3,3,9,7,6,+,*,*,+,+",358,6
((3+7)*4*9)-3-6,"4,9,3,7,+,*,*,6,-,3,-",351,6
((3+6)*(3+7)*4)-9,"4,3,6,+,3,7,+,*,*,9,-",351,6
((((3+9)*4)+3)*7)-6,"7,3,4,3,9,+,*,+,*,6,-",351,6
(3-((3-(7*9))*6))-4,"3,6,3,7,9,*,-,*,-,4,-",359,6
(((6*7)-3)*9)/(4-3),"9,6,7,*,3,-,*,4,3,-,/",351,6
(((7*9)-3)*6)-(4-3),"6,7,9,*,3,-,*,4,3,-,-",359,6
((3-(6*7))*9)/(3-4),"9,3,6,7,*,-,*,3,4,-,/",351,6
((3+7)*4*9)-(3+6),"4,9,3,7,+,*,*,6,3,+,-",351,6
((6+7)*3*9)/(4-3),"3,9,6,7,+,*,*,4,3,-,/",351,6
((6*7)-3)*(9/(4-3)),"9,4,3,-,/,6,7,*,3,-,*",351,6
(3-(6*7))*(9/(3-4)),"3,6,7,*,-,9,3,4,-,/,*",351,6
((4*9)+3)*((6/3)+7),"3,4,9,*,+,7,6,3,/,+,*",351,6
((4*6)+3)*(9-(3-7)),"3,4,6,*,+,9,3,7,-,-,*",351,6
((4*6)+3)*(7+9-3),"3,4,6,*,+,7,9,3,-,+,*",351,6
((4*6)+3)*(7-(3-9)),"3,4,6,*,+,7,3,9,-,-,*",351,6
((3*3*4)-9)*(6+7),"6,7,+,4,3,3,*,*,9,-,*",351,6
((3*9)/(4-3))*(6+7),"6,7,+,3,9,*,4,3,-,/,*",351,6
((4*9)-(3*3))*(6+7),"6,7,+,4,9,*,3,3,*,-,*",351,6
(((6*7)-4)*9)+(3*3),"3,3,*,9,6,7,*,4,-,*,+",351,6
(((6*9)-4)*7)+(3/3),"3,3,/,7,6,9,*,4,-,*,+",351,6
(((6*9)-4)*7)+(3*3),"3,3,*,7,6,9,*,4,-,*,+",359,6
(((9-3)*4)+3)*(6+7),"6,7,+,3,4,9,3,-,*,+,*",351,6
(3-((3-9)*4))*(6+7),"6,7,+,3,4,3,9,-,*,-,*",351,6
(3-((3-7)*6))*(4+9),"4,9,+,3,6,3,7,-,*,-,*",351,6
(((7-3)*6)+3)*(4+9),"4,9,+,3,6,7,3,-,*,+,*",351,6
(3-4)-((3-(7*9))*6),"3,4,-,6,3,7,9,*,-,*,-",359,6
(3*3)-((4-(6*7))*9),"3,3,*,9,4,7,6,*,-,*,-",351,6
(3/3)-((4-(6*9))*7),"3,3,/,7,4,6,9,*,-,*,-",351,6
(3*3)-((4-(6*9))*7),"3,3,*,7,4,6,9,*,-,*,-",359,6
(((6*7)/(4-3))-3)*9,"9,6,7,*,4,3,-,/,3,-,*",351,6
((((3*4)-6)*7)-3)*9,"9,7,4,3,*,6,-,*,3,-,*",351,6
(((7*9)-3)*6)+3-4,"3,6,7,9,*,3,-,*,4,-,+",359,6
(((6/(4-3))*7)-3)*9,"9,7,6,4,3,-,/,*,3,-,*",351,6
((((6/3)+4)*7)-3)*9,"9,7,4,6,3,/,+,*,3,-,*",351,6
(((7/(4-3))*6)-3)*9,"9,6,7,4,3,-,/,*,3,-,*",351,6
(((4-3)*6*7)-3)*9,"9,6,7,4,3,-,*,*,3,-,*",351,6
(((6-4)*3*7)-3)*9,"9,3,7,6,4,-,*,*,3,-,*",351,6
((((3*4)+6)*7)-9)*3,"3,7,6,4,3,*,+,*,9,-,*",351,6
(((4+7+9)*6)-3)*3,"3,6,4,7,9,+,+,*,3,-,*",351,6
(((6*7)-3)/(4-3))*9,"9,6,7,*,3,-,4,3,-,/,*",351,6
(((3+3)*6)-(4-7))*9,"9,6,3,3,+,*,4,7,-,-,*",351,6
((3*3*7)-(4*6))*9,"9,3,7,3,*,*,4,6,*,-,*",351,6
((3-(6*7))/(3-4))*9,"9,3,6,7,*,-,3,4,-,/,*",351,6
(((6+7)*3)/(4-3))*9,"9,3,6,7,+,*,4,3,-,/,*",351,6
(((6+7)*9)/(4-3))*3,"3,9,6,7,+,*,4,3,-,/,*",351,6
((6*7)-3)*(4-3)*9,"9,4,3,-,6,7,*,3,-,*,*",351,6
((3/3)+(6*7)-4)*9,"9,3,3,/,6,7,*,4,-,+,*",351,6
((6*7)-(4-(3/3)))*9,"9,6,7,*,4,3,3,/,-,-,*",351,6
(4-(3/3))*(6+7)*9,"9,6,7,+,4,3,3,/,-,*,*",351,6
((3/(3-4))+(6*7))*9,"9,6,7,*,3,3,4,-,/,+,*",351,6
(((3-4)*3)+(6*7))*9,"9,6,7,*,3,3,4,-,*,+,*",351,6
((6*7)-(3/(4-3)))*9,"9,6,7,*,3,4,3,-,/,-,*",351,6
((6*7)-((4-3)*3))*9,"9,6,7,*,3,4,3,-,*,-,*",351,6
(3/(4-3))*(6+7)*9,"9,6,7,+,3,4,3,-,/,*,*",351,6
((3/3)-(4-(6*7)))*9,"9,3,3,/,4,7,6,*,-,-,*",351,6
(3-(6*7))*(3-4)*9,"9,3,4,-,3,7,6,*,-,*,*",351,6
(6+7)*(9/(4-3))*3,"3,6,7,+,9,4,3,-,/,*,*",351,6
((6/3)+7)*(4+9)*3,"3,4,9,+,7,6,3,/,+,*,*",351,6
(((4+7)*9)+(3*6))*3,"3,3,6,*,9,7,4,+,*,+,*",351,6
(((6+9)*7)+(3*4))*3,"3,3,4,*,7,6,9,+,*,+,*",351,6
(((3*3*6)-4)*7)+9,"9,7,6,3,3,*,*,4,-,*,+",359,6
(((3+3)*6)+7-4)*9,"9,7,6,3,3,+,*,4,-,+,*",351,6
((3*4)+(3*7)+6)*9,"9,6,4,3,*,7,3,*,+,+,*",351,6
((6+7)/(4-3))*3*9,"3,9,6,7,+,4,3,-,/,*,*",351,6
((3*4)-(6-7))*3*9,"3,9,4,3,*,6,7,-,-,*,*",351,6
(4-3)*(6+7)*3*9,"3,9,4,3,-,7,6,+,*,*,*",351,6
((7*9)-(4*6))*3*3,"3,3,7,9,*,4,6,*,-,*,*",351,6
(4-(((3/3)-6)*7))*9,"9,4,7,3,3,/,6,-,*,-,*",351,6
(((6*7)-4)*3*3)+9,"9,3,3,6,7,*,4,-,*,*,+",351,6
(3-((4-3-7)*6))*9,"9,3,6,4,7,-,3,-,*,-,*",351,6
((3*4)+7-6)*3*9,"3,9,7,4,3,*,6,-,+,*,*",351,6
3-(4-(((7*9)-3)*6)),"3,4,6,7,9,*,3,-,*,-,-",359,6
((((4*7)-9)*6)+3)*3,"3,3,6,4,7,*,9,-,*,+,*",351,6
9-((4-(3*3*6))*7),"9,7,4,6,3,3,*,*,-,*,-",359,6
(7-(4-((3+3)*6)))*9,"9,7,4,6,3,3,+,*,-,-,*",351,6
((((6/3)+3)*7)+4)*9,"9,4,7,3,6,3,/,+,*,+,*",351,6
(((6-(3/3))*7)+4)*9,"9,4,7,6,3,3,/,-,*,+,*",351,6
9-((4-(6*7))*3*3),"9,3,3,4,7,6,*,-,*,*,-",351,6
(((3-(4-7))*6)+3)*9,"9,3,6,3,4,7,-,-,*,+,*",351,6
(((3+7-4)*6)+3)*9,"9,3,6,7,3,4,-,+,*,+,*",351,6
(((3*4)+7)*3*6)+9,"9,3,6,7,4,3,*,+,*,*,+",351,6
(((7-(4-3))*6)+3)*9,"9,3,6,7,4,3,-,-,*,+,*",351,6
(3-((4-(3+7))*6))*9,"9,3,6,4,7,3,+,-,*,-,*",351,6
((((6/3)+7)*4)+3)*9,"9,3,4,7,6,3,/,+,*,+,*",351,6
(((3*4*9)+7)*3)+6,"6,3,7,3,4,9,*,*,+,*,+",351,6
(((6-4)*3)+7)*3*9,"3,9,7,3,6,4,-,*,+,*,*",351,6
